Index,Quelle,Projektname,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Lizenz,Lizenz-Organisation
142,https://www.civic-coding.de/community/projekt/genodigital/1081,#GenoDigital,https://www.civic-coding.de/community/projekt/genodigital/1081,Civic Coding,Unbekannt,Gemein­­sam bringen wir Genossen­­schaften ins digi­tale Zeitalter. https://genossenschaften.digital/,CC-BY-NC-ND 4.0,https://www.civic-coding.de
143,https://www.civic-coding.de/community/projekt/ki-toolbox-fur-die-entwicklung-und-umsetzung-von-sozialunternhemen-in-afrika/1080,KI Toolbox für die Entwicklung und Umsetzung von Sozialunternhemen in Afrika,https://www.civic-coding.de/community/projekt/ki-toolbox-fur-die-entwicklung-und-umsetzung-von-sozialunternhemen-in-afrika/1080,Civic Coding,Unbekannt,"SINA befähigt benachteiligte junge Menschen in Afrika Sozialunternhemer zu werden. Dabei kommen noch keine KI Tools zum Ansatz, mittlerweile gibt es aber viele hilfreiche Tools für die Entwicklung, Testung und Umsetzung von Sozialunternehmen, die hilfreich wären.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
144,https://www.civic-coding.de/community/projekt/monitoring-von-hass-im-netz-mit-einem-simplen-tool-von-ai4democracy/1079,Monitoring von Hass im Netz mit einem simplen Tool - von AI4Democracy,https://www.civic-coding.de/community/projekt/monitoring-von-hass-im-netz-mit-einem-simplen-tool-von-ai4democracy/1079,Civic Coding,Unbekannt,"Das Ziel ist die Entwicklung eines Tools, das es ermöglicht, gegen Hassrede und Fake News in sozialen Medien vorzugehen, insbesondere im Kontext von Wahlen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
145,https://www.civic-coding.de/community/projekt/the-possibilists-directory-eine-digitale-plattform-mit-unterstutzungs-angeboten-fur-junge-changemaker/1078,The Possibilists Directory - eine digitale Plattform mit Unterstützungs-Angeboten für junge Changemaker,https://www.civic-coding.de/community/projekt/the-possibilists-directory-eine-digitale-plattform-mit-unterstutzungs-angeboten-fur-junge-changemaker/1078,Civic Coding,Unbekannt,"The Possibilists ist eine von ChangemakerXchange initiierte global Allianz der weltweit größten Netzwerke für soziale Innovation. Via The Possibilists Directory geben wir Millionen junger Changemaker, Aktivist:innen und Sozialunternehmer:innen Zugang zu passgenauer Unterstützung.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
146,https://www.civic-coding.de/community/projekt/tilt-transforming-in-a-low-carbon-transition/1074,tilt - transforming in a low-carbon transition,https://www.civic-coding.de/community/projekt/tilt-transforming-in-a-low-carbon-transition/1074,Civic Coding,Unbekannt,"tilt ist eine Software, die Banken dabei hilft, eine Klimastrategie für ihre KMU Portfolios aufzusetzen. Dazu generiert tilt Klimadaten zu KMUs, die Banken nutzen, um KMUs mit Finanzierung und Expertise bei der Transformation zu mehr Klima- und Naturschutz zu unterstützen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
147,https://www.civic-coding.de/community/projekt/foerderfunke/1072,FörderFunke,https://www.civic-coding.de/community/projekt/foerderfunke/1072,Civic Coding,Unbekannt,"Der Staat macht Bürger:innen diverse Leistungsangebote. Welche Ansprüche bestehen, ist vielen Menschen nicht bewusst. Anträge werden oft gar nicht oder falsch gestellt. Leistungen gehen verloren. FörderFunke ist eine Platform, die Menschen proaktiv über ihre Ansprüche informiert.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
148,https://www.civic-coding.de/community/projekt/meindorfnet-die-datenschutzkonforme-dorfplattform-fur-das-gemeindeleben-und-kommunale-oeffentlichkeitsarbeit/1067,MeinDorfNet - Die datenschutzkonforme Dorfplattform für das Gemeindeleben und kommunale Öffentlichkeitsarbeit,https://www.civic-coding.de/community/projekt/meindorfnet-die-datenschutzkonforme-dorfplattform-fur-das-gemeindeleben-und-kommunale-oeffentlichkeitsarbeit/1067,Civic Coding,Unbekannt,"Eine eigene Plattform für Vereine, Verwaltung und Bürger, im eigenen Design für jedes Dorf. Diese ist so gestaltet, dass die Prozesse der Öffentlichkeitsarbeit für alle Zielgruppen des Dorfes optimiert sind und insbesondere offen und wirklich datenschutzkonform gestaltet sind.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
149,https://www.civic-coding.de/community/projekt/badgeup-your-life/1066,BadgeUp Your Life,https://www.civic-coding.de/community/projekt/badgeup-your-life/1066,Civic Coding,Unbekannt,In Ergänzung von Ehrenamts-Workshops in Schulen skalieren wir unser bereits existierendes VolonTOOL auf eine höhere digitale Ebene. Wir planen die Gamifizierung von Educational Soft Skill Badges von Volunteers in einem Skill Tree und die KI-gestützte Ehrenamts-Projekterfassung.,CC-BY-NC-ND 4.0,https://www.civic-coding.de
150,https://www.civic-coding.de/community/projekt/arbeitsoonahe/1062,ArbeitSooNahe,https://www.civic-coding.de/community/projekt/arbeitsoonahe/1062,Civic Coding,Unbekannt,Durch die Anwendung von KI-Lösungen in der Arbeitsorganisation und Produktion sollen KMU in strukturschwachen Regionen gestärkt und die Attraktivität des jeweiligen Standortes langfristig gesichert werden.,CC-BY-NC-ND 4.0,https://www.civic-coding.de
151,https://www.civic-coding.de/community/projekt/sucht-reha-goes-ki-therapie-planung-dokumentation-und-pflege-dokumentation/1061,"""Sucht-Reha goes KI"" - Therapie-Planung/-Dokumentation und Pflege-Dokumentation",https://www.civic-coding.de/community/projekt/sucht-reha-goes-ki-therapie-planung-dokumentation-und-pflege-dokumentation/1061,Civic Coding,Unbekannt,"Weder Therapeut*innen (für Therapie-Planung u.v.a. Dokumentation) noch Pflegekräfte haben für die Betreuung unserer Rehabilitand*innen aktuell irgendwelche automatisierenden Tools zur Verfügung! Der ""händische"" Aufwand und Druck ist enorm, Therapie und Pflege kommen oft zu kurz.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
